cpf,cartao,produto,tipo_conta,data_contestacao,transacao_contestada_valor,data_transacao,hora_transacao,modalidade_fraude,numero_ticket,segmento,tipo_transacao,idade,regiao,uf,estabelecimento,adquirente
08436725107,4352870977526520,Cartão,Conta Corrente,2026-03-09,1374.61,2026-03-06,01:34:44,Cartão clonado,TK100108,Personnalité,Online,33,Sudeste,SP,Steam,Stone
39507216499,,Conta Corrente,Conta Corrente,2026-03-13,2019.52,2026-03-13,16:21:00,Transferência não reconhecida,CC100318,Uniclass,Online,36,Sudeste,MG,,
78360921431,,Conta Corrente,Conta Corrente,2026-05-23,619.4,2026-05-23,21:51:00,Boleto falso,CC100408,Varejo,Online,30,Sudeste,MG,,
46875230992,,Conta Corrente,Conta Corrente,2026-05-10,1655.74,2026-05-08,15:51:00,Pix indevido,CC100118,Uniclass,Online,32,Centro-Oeste,MT,,
07986245158,4334841154495842,Cartão,Conta Corrente,2026-01-15,644.48,2026-01-14,01:55:55,Engenharia social,TK100114,Varejo,Online,45,Nordeste,PB,Mercado Livre,Stone
25497603106,,Conta Corrente,Conta Corrente,2026-04-12,2297.02,2026-04-10,19:00:00,Transferência não reconhecida,CC100141,Varejo,Online,51,Centro-Oeste,DF,,
56134720925,,Conta Corrente,Conta Corrente,2026-02-17,889.64,2026-02-14,00:11:00,Transferência não reconhecida,CC100209,Uniclass,Online,18,Sul,PR,,
30476812526,,Conta Corrente,Conta Corrente,2026-02-04,1987.75,2026-02-03,04:57:00,Pix indevido,CC100324,Uniclass,Online,31,Sudeste,SP,,
10236579886,,Conta Corrente,Conta Corrente,2026-01-12,2240.95,2026-01-11,00:31:00,Pix indevido,CC100334,Varejo,Online,20,Sudeste,RJ,,
03659482765,,Conta Corrente,Conta Corrente,2026-02-23,1724.45,2026-02-23,20:47:00,Boleto falso,CC100198,Personnalité,Online,18,Sudeste,RJ,,
18439765282,,Conta Corrente,Conta Corrente,2026-01-30,900.89,2026-01-28,09:13:00,Transferência não reconhecida,CC100426,Varejo,Online,37,Sudeste,RJ,,
67042319869,,Conta Corrente,Conta Corrente,2026-03-31,1625.49,2026-03-31,17:58:00,Transferência não reconhecida,CC100389,Personnalité,Online,24,Sudeste,MG,,
61307592821,,Conta Corrente,Conta Corrente,2026-02-17,2214.01,2026-02-17,06:30:00,Pix indevido,CC100321,Uniclass,Online,23,Norte,PA,,
29104683722,,Conta Corrente,Conta Corrente,2026-05-18,1720.13,2026-05-16,21:28:00,Pix indevido,CC100352,Varejo,Online,45,Sul,SC,,
31752904699,,Conta Corrente,Conta Corrente,2026-04-17,2075.18,2026-04-17,15:31:00,Boleto falso,CC100180,Varejo,Online,38,Sudeste,RJ,,
67824395065,,Conta Corrente,Conta Corrente,2026-01-04,544.59,2026-01-03,22:22:00,Transferência não reconhecida,CC100199,Uniclass,Online,43,Sudeste,RJ,,
21953647006,4313256660110477,Cartão,Conta Corrente,2026-03-25,947.9,2026-03-22,06:52:46,Cartão clonado,TK100109,Varejo,Online,37,Centro-Oeste,DF,Mercado Livre,Getnet
28034576107,,Conta Corrente,Conta Corrente,2026-06-03,1589.21,2026-06-03,21:40:00,Boleto falso,CC100431,Personnalité,Online,32,Sul,PR,,
25789604374,,Conta Corrente,Conta Corrente,2026-02-21,1919.49,2026-02-20,00:39:00,Boleto falso,CC100145,Varejo,Online,40,Sudeste,ES,,
38650174280,,Conta Corrente,Conta Corrente,2026-03-26,536.79,2026-03-25,22:29:00,Transferência não reconhecida,CC100237,Varejo,Online,37,Sudeste,MG,,
35912846024,,Conta Corrente,Conta Corrente,2026-06-06,1822.27,2026-06-06,19:39:00,Boleto falso,CC100381,Varejo,Online,21,Sudeste,ES,,
07648329131,,Conta Corrente,Conta Corrente,2026-03-30,1410.56,2026-03-27,11:44:00,Transferência não reconhecida,CC100398,Varejo,Online,46,Nordeste,CE,,
28650714994,4944422217623857,Cartão,Conta Corrente,2026-01-25,765.46,2026-01-21,22:09:55,Cartão clonado,TK100083,Personnalité,Online,47,Sul,PR,PlayStation,Rede
79564823137,,Conta Corrente,Conta Corrente,2026-05-31,280.99,2026-05-30,18:07:00,Pix indevido,CC100407,Uniclass,Online,31,Sudeste,MG,,
74169023803,,Conta Corrente,Conta Corrente,2026-05-09,1082.47,2026-05-09,21:12:00,Boleto falso,CC100172,Varejo,Online,23,Sudeste,RJ,,
51243687053,4542514259315454,Cartão,Conta Corrente,2026-04-29,1306.16,2026-04-26,06:09:36,Phishing,TK100074,Uniclass,Online,69,Centro-Oeste,MT,PlayStation,PagSeguro
10362894787,,Conta Corrente,Conta Corrente,2026-06-01,1685.63,2026-05-31,16:08:00,Boleto falso,CC100351,Uniclass,Online,35,Nordeste,BA,,
31905264780,,Conta Corrente,Conta Corrente,2026-02-03,1761.9,2026-01-31,06:10:00,Transferência não reconhecida,CC100387,Uniclass,Online,37,Sudeste,MG,,
87159430620,,Conta Corrente,Conta Corrente,2026-03-04,2364.08,2026-03-01,02:36:00,Boleto falso,CC100119,Uniclass,Online,48,Sul,RS,,
82953416773,,Conta Corrente,Conta Corrente,2026-01-27,160.26,2026-01-25,00:03:00,Boleto falso,CC100414,Uniclass,Online,43,Nordeste,PE,,
51472390814,,Conta Corrente,Conta Corrente,2026-03-14,2461.63,2026-03-13,03:26:00,Boleto falso,CC100388,Varejo,Online,19,Sul,RS,,
58079214379,,Conta Corrente,Conta Corrente,2026-01-06,1855.46,2026-01-06,17:06:00,Boleto falso,CC100193,Uniclass,Online,35,Norte,AM,,
