cpf_em_texto_14,cartao_mascarado,data,hora,valor,estabelecimento,ramo,tipo_transacao,adquirente,status
170.243.658-62,474096******5063,2026-05-13,21:40:12,33.03,Pão de Açúcar,Supermercado,Presencial,Stone,Aprovada
549.706.138-93,405759******4343,2026-02-05,16:29:12,37.38,Steam,Games,Presencial,Getnet,Aprovada
675.031.928-95,438580******2402,2026-04-24,00:13:35,114.19,Drogasil,Farmácia,Presencial,Cielo,Aprovada
651.409.387-66,431223******0493,2026-02-19,04:14:41,38.81,Booking,Viagens,Online,Getnet,Aprovada
658.321.097-59,446258******5948,2026-02-17,05:25:27,73.2,LATAM,Viagens,Online,Stone,Aprovada
315.047.826-07,444544******4689,2026-01-25,12:27:57,25.69,Renner,Varejo,Presencial,Rede,Aprovada
186.274.930-22,435527******1057,2026-02-05,02:55:10,74.03,Magalu,Varejo,Online,Cielo,Aprovada
176.524.083-26,414839******9009,2026-04-09,04:18:55,16.4,Carrefour,Supermercado,Presencial,Cielo,Aprovada
429.715.068-94,425315******7835,2026-02-10,05:36:40,110.95,Mercado Livre,E-commerce,Online,Cielo,Aprovada
849.765.132-46,410739******1205,2026-04-12,05:49:55,99.13,iFood,Alimentação,Online,PagSeguro,Negada
941.708.325-23,497345******4780,2026-01-10,14:44:50,37.0,Loja Online X,E-commerce,Presencial,Rede,Aprovada
843.095.271-32,471324******9279,2026-06-10,12:13:30,26.6,Eletrônicos Y,Tecnologia,Presencial,Cielo,Aprovada
562.308.974-74,480577******1749,2026-06-10,02:27:59,40.93,Eletrônicos Y,Tecnologia,Online,Stone,Aprovada
162.904.578-02,494559******4986,2026-01-08,03:16:43,43.78,Amazon BR,E-commerce,Online,Cielo,Aprovada
710.382.649-87,416685******1197,2026-06-01,22:13:01,41.69,Loja Online X,E-commerce,Presencial,Stone,Aprovada
349.018.625-70,485107******0337,2026-04-09,01:26:31,8.71,Eletrônicos Y,Tecnologia,Presencial,Cielo,Aprovada
381.290.657-03,456965******4585,2026-04-08,07:12:13,19.93,Renner,Varejo,Online,PagSeguro,Aprovada
142.870.659-30,464293******1155,2026-01-24,04:46:58,43.92,Mercado Livre,E-commerce,Presencial,Stone,Aprovada
094.786.135-10,436746******6937,2026-01-29,07:27:24,27.4,Apple,Tecnologia,Online,Stone,Aprovada
146.253.870-35,442293******3492,2026-01-15,22:20:30,61.78,Carrefour,Supermercado,Online,PagSeguro,Aprovada
508.249.316-70,460307******1153,2026-03-28,18:57:16,16.51,Renner,Varejo,Presencial,PagSeguro,Aprovada
138.947.650-20,470644******1855,2026-03-21,22:10:50,50.2,Steam,Games,Presencial,Rede,Aprovada
208.394.561-15,495841******0415,2026-05-28,16:03:13,92.57,Google,Tecnologia,Presencial,Rede,Aprovada
265.907.418-67,436266******9420,2026-02-22,21:29:21,52.32,Magalu,Varejo,Presencial,Cielo,Aprovada
270.361.584-17,434217******0583,2026-02-03,21:31:24,125.53,Pão de Açúcar,Supermercado,Presencial,Stone,Aprovada
153.789.206-12,458233******6373,2026-03-09,05:25:34,14.91,Google,Tecnologia,Online,Stone,Aprovada
526.371.408-44,453957******8234,2026-06-15,03:41:35,35.11,Magalu,Varejo,Presencial,PagSeguro,Aprovada
743.526.198-09,420589******8554,2026-05-02,16:25:03,51.86,Uber,Mobilidade,Presencial,Rede,Aprovada
834.952.671-82,463858******0244,2026-05-10,03:14:08,39.54,Uber,Mobilidade,Presencial,Getnet,Negada
504.379.281-79,481898******7485,2026-06-30,09:55:43,14.61,iFood,Alimentação,Presencial,Rede,Aprovada
347.982.560-56,478087******4524,2026-02-11,11:02:00,15.42,Eletrônicos Y,Tecnologia,Presencial,Cielo,Aprovada
742.039.851-88,419802******2199,2026-02-01,01:56:21,38.11,Amazon BR,E-commerce,Presencial,PagSeguro,Aprovada
159.462.307-43,467260******1866,2026-03-03,04:47:32,36.17,Mercado Livre,E-commerce,Online,PagSeguro,Aprovada
649.203.578-00,414735******8438,2026-02-23,07:15:37,38.68,Spotify,Assinaturas,Presencial,Cielo,Aprovada
813.576.490-10,487928******1020,2026-02-19,18:02:53,45.09,Shell,Combustível,Presencial,Stone,Aprovada
651.482.079-49,479211******0060,2026-01-07,15:21:14,13.79,Decathlon,Esportes,Online,Getnet,Aprovada
504.379.281-79,481898******7485,2026-05-24,18:56:06,26.16,Drogasil,Farmácia,Online,Rede,Aprovada
973.628.450-65,425858******1851,2026-01-21,14:12:15,23.55,Uber,Mobilidade,Online,PagSeguro,Aprovada
586.034.179-20,484140******5157,2026-03-27,18:46:28,83.81,Carrefour,Supermercado,Online,PagSeguro,Aprovada
584.203.917-60,446895******3799,2026-03-15,16:52:20,26.73,Loja Online X,E-commerce,Presencial,PagSeguro,Aprovada
046.581.372-08,444400******5105,2026-01-03,07:08:57,20.47,Uber,Mobilidade,Online,Stone,Aprovada
620.751.349-52,456099******2093,2026-05-20,07:04:32,134.58,Loja Online X,E-commerce,Online,Rede,Aprovada
971.534.062-80,405669******5695,2026-01-29,18:32:53,95.51,Eletrônicos Y,Tecnologia,Presencial,Getnet,Aprovada
290.347.561-06,458980******0969,2026-03-18,11:06:19,82.44,Spotify,Assinaturas,Presencial,Getnet,Aprovada
467.032.598-10,427721******3000,2026-04-18,06:30:01,101.31,Carrefour,Supermercado,Online,Stone,Aprovada
406.872.913-13,442783******7735,2026-02-18,15:22:40,26.4,Spotify,Assinaturas,Presencial,Cielo,Aprovada
560.819.243-51,439172******2010,2026-02-10,04:12:12,54.47,Shell,Combustível,Presencial,Rede,Aprovada
621.047.593-07,497919******4514,2026-02-14,02:34:06,53.44,Uber,Mobilidade,Online,Stone,Aprovada
659.207.413-25,490510******8572,2026-02-08,17:37:00,72.13,Carrefour,Supermercado,Online,Stone,Aprovada
605.143.289-24,493532******0924,2026-02-28,07:23:23,22.12,Shell,Combustível,Presencial,Rede,Aprovada
179.843.265-09,447137******9468,2026-01-06,07:57:35,23.93,Magalu,Varejo,Online,Stone,Aprovada
586.034.179-20,484140******5157,2026-06-05,12:52:21,11.54,Mercado Livre,E-commerce,Online,Cielo,Aprovada
258.163.479-00,457166******8111,2026-05-31,17:14:45,59.55,Steam,Games,Online,PagSeguro,Aprovada
209.731.685-95,469465******8878,2026-01-19,13:08:26,72.76,LATAM,Viagens,Online,Cielo,Aprovada
406.872.913-13,442783******7735,2026-06-19,20:42:13,57.98,Booking,Viagens,Online,Getnet,Aprovada
967.025.318-77,466994******6137,2026-06-03,00:43:23,17.87,Apple,Tecnologia,Presencial,Cielo,Aprovada
032.679.584-74,418825******8627,2026-05-21,21:41:34,59.78,LATAM,Viagens,Presencial,Getnet,Aprovada
634.097.215-25,488406******1618,2026-06-25,14:29:24,44.22,Carrefour,Supermercado,Online,Rede,Aprovada
019.542.863-33,412774******8911,2026-06-29,03:44:48,18.72,Magalu,Varejo,Presencial,Rede,Aprovada
518.049.726-49,428218******4462,2026-05-30,15:47:07,22.77,Netshoes,Varejo,Online,PagSeguro,Aprovada
813.576.490-10,487928******1020,2026-01-12,18:24:00,76.84,Netshoes,Varejo,Presencial,PagSeguro,Aprovada
856.791.024-20,457785******3984,2026-03-11,11:56:07,109.52,Spotify,Assinaturas,Presencial,Getnet,Aprovada
350.127.689-30,414369******6170,2026-05-28,12:30:56,64.83,LATAM,Viagens,Presencial,Getnet,Aprovada
940.218.736-78,408370******5580,2026-02-25,05:45:34,20.32,Carrefour,Supermercado,Online,Cielo,Aprovada
278.014.963-96,486224******5618,2026-06-16,11:10:27,8.03,Steam,Games,Online,PagSeguro,Aprovada
428.167.593-00,472073******9289,2026-02-11,04:43:29,42.55,Magalu,Varejo,Online,Rede,Aprovada
670.423.198-69,475720******1136,2026-01-04,19:10:45,18.95,Raia,Farmácia,Presencial,Stone,Aprovada
985.347.216-37,431328******6820,2026-04-08,13:06:59,49.75,Magalu,Varejo,Presencial,Cielo,Aprovada
935.486.107-57,474755******5579,2026-03-08,05:59:34,45.25,LATAM,Viagens,Presencial,Stone,Negada
087.924.163-22,433906******2447,2026-03-28,18:22:11,94.27,Uber,Mobilidade,Presencial,PagSeguro,Negada
967.025.318-77,466994******6137,2026-04-24,10:48:38,44.94,Decathlon,Esportes,Presencial,PagSeguro,Aprovada
430.796.528-00,491577******3291,2026-04-08,00:56:11,84.99,Netshoes,Varejo,Presencial,PagSeguro,Aprovada
562.308.974-74,480577******1749,2026-06-22,12:01:23,44.17,Eletrônicos Y,Tecnologia,Online,PagSeguro,Aprovada
384.017.659-00,474686******0230,2026-02-18,08:56:12,123.46,iFood,Alimentação,Online,Stone,Aprovada
438.572.061-44,441516******6870,2026-01-25,12:17:47,29.14,Magalu,Varejo,Presencial,Getnet,Aprovada
918.620.543-98,471956******6285,2026-02-14,12:34:00,22.8,Eletrônicos Y,Tecnologia,Presencial,PagSeguro,Aprovada
369.742.518-82,441358******5340,2026-03-03,14:51:14,39.68,Netshoes,Varejo,Presencial,Rede,Aprovada
923.074.561-80,446866******4477,2026-01-27,07:01:06,38.9,iFood,Alimentação,Presencial,Cielo,Aprovada
938.621.074-69,433646******1800,2026-02-06,19:49:52,48.48,Netshoes,Varejo,Presencial,Rede,Aprovada
530.849.216-60,462328******4689,2026-04-08,11:07:00,50.73,Shell,Combustível,Presencial,PagSeguro,Aprovada
923.608.147-96,442914******8623,2026-02-25,21:03:22,32.3,Eletrônicos Y,Tecnologia,Presencial,Stone,Aprovada
512.083.476-08,447907******4482,2026-03-02,19:24:28,61.42,Eletrônicos Y,Tecnologia,Presencial,Cielo,Aprovada
792.134.680-40,453838******1744,2026-06-16,01:16:46,72.72,Renner,Varejo,Presencial,PagSeguro,Aprovada
834.952.671-82,463858******0244,2026-04-02,08:22:43,30.68,iFood,Alimentação,Presencial,PagSeguro,Aprovada
192.786.435-64,475848******0430,2026-06-16,15:23:33,39.04,PlayStation,Games,Online,Cielo,Aprovada
182.764.953-46,409643******6039,2026-05-30,17:24:51,61.32,Netshoes,Varejo,Presencial,Stone,Aprovada
031.697.584-20,400827******9236,2026-01-18,06:38:49,23.43,Renner,Varejo,Presencial,Cielo,Aprovada
389.107.546-48,424116******4205,2026-04-23,08:02:22,70.15,Shell,Combustível,Presencial,Rede,Aprovada
583.691.240-89,427269******2785,2026-01-18,22:22:37,56.25,Drogasil,Farmácia,Presencial,Getnet,Aprovada
819.207.645-85,463370******7005,2026-04-27,11:55:48,36.44,Spotify,Assinaturas,Presencial,Cielo,Aprovada
084.752.931-23,409542******9075,2026-02-23,07:52:50,49.45,Drogasil,Farmácia,Presencial,Getnet,Aprovada
376.092.485-92,452360******0673,2026-06-27,15:54:30,8.0,Magalu,Varejo,Presencial,Cielo,Aprovada
928.540.167-85,456578******0441,2026-06-04,11:46:09,72.35,Apple,Tecnologia,Online,Cielo,Aprovada
862.047.139-22,473171******6241,2026-04-20,12:57:58,17.2,Booking,Viagens,Presencial,PagSeguro,Aprovada
692.845.037-10,441910******9467,2026-02-09,17:59:02,38.05,Eletrônicos Y,Tecnologia,Presencial,Stone,Aprovada
862.945.037-10,426570******4837,2026-01-23,13:46:17,29.68,Magalu,Varejo,Presencial,Getnet,Aprovada
163.954.702-99,445153******3649,2026-06-01,09:51:55,24.2,Steam,Games,Presencial,Rede,Aprovada
031.697.584-20,400827******9236,2026-04-14,14:22:41,30.8,Shell,Combustível,Presencial,Getnet,Aprovada
067.428.315-53,405400******4407,2026-05-19,09:07:25,56.96,Steam,Games,Presencial,Cielo,Aprovada
794.032.165-06,483457******9945,2026-05-09,23:47:44,127.8,Renner,Varejo,Presencial,Cielo,Aprovada
759.802.634-38,461039******7204,2026-02-17,17:45:26,45.88,Decathlon,Esportes,Presencial,PagSeguro,Aprovada
263.541.089-51,409188******9891,2026-04-25,19:09:14,46.52,Uber,Mobilidade,Presencial,PagSeguro,Aprovada
587.306.291-95,455095******8106,2026-05-09,16:51:31,22.65,Renner,Varejo,Online,Stone,Negada
206.159.438-70,497603******7587,2026-04-16,15:42:23,29.28,Decathlon,Esportes,Presencial,Rede,Aprovada
109.365.482-15,428221******6012,2026-05-29,08:04:06,28.74,Amazon BR,E-commerce,Online,Rede,Aprovada
473.105.268-80,486995******2953,2026-04-18,07:19:33,37.43,Booking,Viagens,Presencial,Stone,Aprovada
659.078.243-10,439419******1298,2026-06-23,03:16:53,23.29,Google,Tecnologia,Online,Stone,Aprovada
034.782.659-83,442947******1081,2026-01-04,00:37:45,75.74,LATAM,Viagens,Presencial,Cielo,Aprovada
938.621.074-69,433646******1800,2026-01-27,09:15:28,46.3,Eletrônicos Y,Tecnologia,Presencial,Getnet,Aprovada
150.492.863-60,439658******4623,2026-04-03,12:54:19,56.51,Renner,Varejo,Online,Cielo,Aprovada
324.567.190-34,420257******2238,2026-05-20,14:20:54,26.58,Spotify,Assinaturas,Online,PagSeguro,Aprovada
813.576.490-10,487928******1020,2026-03-19,05:58:38,25.11,Carrefour,Supermercado,Presencial,PagSeguro,Aprovada
178.206.543-17,493389******1254,2026-05-16,12:56:33,55.81,Spotify,Assinaturas,Presencial,Stone,Aprovada
473.602.815-71,418525******2169,2026-06-02,08:49:43,51.67,Eletrônicos Y,Tecnologia,Online,Rede,Aprovada
671.398.025-21,497506******8662,2026-03-23,11:09:23,67.62,Booking,Viagens,Presencial,Getnet,Aprovada
975.682.130-21,409638******7938,2026-04-05,19:52:15,16.81,Decathlon,Esportes,Presencial,Rede,Aprovada
376.528.140-90,401029******8608,2026-01-27,21:10:20,117.34,iFood,Alimentação,Presencial,PagSeguro,Aprovada
697.538.201-86,480405******3452,2026-05-01,02:29:24,52.21,Google,Tecnologia,Presencial,Rede,Aprovada
027.153.864-35,475839******4991,2026-06-09,23:08:52,74.65,Google,Tecnologia,Presencial,PagSeguro,Aprovada
764.823.195-64,476276******1040,2026-05-01,18:40:15,39.34,PlayStation,Games,Presencial,PagSeguro,Aprovada
562.890.417-11,406602******3403,2026-04-09,09:00:25,26.09,Loja Online X,E-commerce,Online,PagSeguro,Aprovada
174.850.396-01,470558******3189,2026-05-13,07:51:11,41.49,Loja Online X,E-commerce,Presencial,Rede,Aprovada
658.320.147-07,418902******9237,2026-05-04,18:05:29,15.88,Apple,Tecnologia,Presencial,Getnet,Aprovada
671.398.025-21,497506******8662,2026-03-02,18:42:55,39.85,Eletrônicos Y,Tecnologia,Presencial,PagSeguro,Aprovada
246.510.983-98,418056******7604,2026-05-15,00:40:28,13.73,Booking,Viagens,Online,Getnet,Aprovada
140.389.657-75,427947******1212,2026-05-06,07:31:30,50.43,Renner,Varejo,Online,PagSeguro,Aprovada
634.097.215-25,488406******1618,2026-05-05,23:51:08,30.63,Shell,Combustível,Presencial,PagSeguro,Aprovada
348.571.962-55,457250******1413,2026-03-07,09:38:38,80.26,Shell,Combustível,Online,Cielo,Aprovada
106.345.278-35,453150******5503,2026-04-16,16:45:26,39.78,Drogasil,Farmácia,Presencial,Rede,Aprovada
652.389.041-42,453433******7215,2026-03-19,22:18:13,125.83,Booking,Viagens,Online,PagSeguro,Aprovada
692.845.037-10,441910******9467,2026-02-02,11:40:47,62.31,Eletrônicos Y,Tecnologia,Online,PagSeguro,Negada
480.572.639-38,466094******6890,2026-04-20,11:20:36,31.06,Magalu,Varejo,Presencial,PagSeguro,Aprovada
578.324.160-17,490164******1879,2026-01-01,10:16:55,36.03,Uber,Mobilidade,Presencial,Getnet,Aprovada
938.621.074-69,433646******1800,2026-03-28,13:47:47,36.32,Loja Online X,E-commerce,Presencial,Cielo,Aprovada
659.207.413-25,490510******8572,2026-05-11,06:06:35,26.54,Raia,Farmácia,Presencial,Getnet,Aprovada
714.230.896-69,478981******3509,2026-04-11,10:35:37,28.73,Raia,Farmácia,Presencial,PagSeguro,Aprovada
705.194.683-84,408660******4116,2026-03-23,01:07:43,11.23,Magalu,Varejo,Presencial,PagSeguro,Aprovada
928.546.730-00,462177******6000,2026-03-20,20:37:13,126.43,Amazon BR,E-commerce,Presencial,Stone,Aprovada
473.928.105-88,439176******3924,2026-04-14,02:11:06,57.57,iFood,Alimentação,Presencial,Stone,Aprovada
041.263.897-50,461541******8543,2026-02-19,21:51:48,26.75,Loja Online X,E-commerce,Online,Getnet,Aprovada
130.568.794-93,440611******5933,2026-04-25,21:43:34,26.24,Decathlon,Esportes,Online,PagSeguro,Aprovada
835.902.467-74,447690******9727,2026-03-28,10:37:48,8.38,Renner,Varejo,Online,Getnet,Aprovada
031.697.584-20,400827******9236,2026-06-21,06:18:56,23.69,Netshoes,Varejo,Presencial,PagSeguro,Aprovada
164.752.089-49,431413******3776,2026-01-22,04:00:41,35.85,PlayStation,Games,Presencial,Stone,Aprovada
530.849.216-60,462328******4689,2026-01-23,15:09:51,42.52,iFood,Alimentação,Presencial,PagSeguro,Aprovada
176.524.083-26,414839******9009,2026-04-28,11:41:15,29.29,Shell,Combustível,Presencial,PagSeguro,Aprovada
538.742.916-00,438347******1952,2026-03-09,19:06:08,39.26,Loja Online X,E-commerce,Presencial,Getnet,Aprovada
319.052.647-80,427504******0883,2026-01-20,07:14:08,39.71,Raia,Farmácia,Presencial,Cielo,Aprovada
429.715.068-94,425315******7835,2026-04-07,21:29:49,27.22,Raia,Farmácia,Online,Stone,Aprovada
473.928.105-88,439176******3924,2026-06-09,01:33:36,35.42,Raia,Farmácia,Online,Getnet,Aprovada
058.793.246-56,495143******3575,2026-06-03,14:56:40,75.46,Drogasil,Farmácia,Presencial,PagSeguro,Aprovada
984.035.721-23,490683******8204,2026-04-12,17:49:21,46.27,Eletrônicos Y,Tecnologia,Presencial,Rede,Aprovada
829.340.576-74,405810******2096,2026-05-17,19:35:27,26.26,Renner,Varejo,Presencial,Cielo,Aprovada
213.846.590-05,454007******7584,2026-02-15,23:56:33,46.47,PlayStation,Games,Online,Rede,Aprovada
930.461.872-03,449732******3379,2026-02-08,23:21:14,191.88,Magalu,Varejo,Presencial,Cielo,Aprovada
583.691.240-89,427269******2785,2026-06-17,18:40:18,32.9,LATAM,Viagens,Online,Cielo,Aprovada
516.947.832-19,454354******1078,2026-02-06,15:58:15,30.48,Carrefour,Supermercado,Online,Getnet,Aprovada
137.208.596-30,462833******3904,2026-03-19,08:50:21,19.27,Eletrônicos Y,Tecnologia,Presencial,Rede,Aprovada
039.628.574-00,451726******7920,2026-03-09,04:31:26,28.36,Netshoes,Varejo,Presencial,PagSeguro,Aprovada
615.790.328-77,492989******3998,2026-04-15,22:02:45,19.25,Carrefour,Supermercado,Online,Getnet,Aprovada
206.159.438-70,497603******7587,2026-03-20,21:31:06,53.58,iFood,Alimentação,Presencial,Getnet,Aprovada
016.524.987-02,487356******4017,2026-01-21,15:35:44,16.41,Drogasil,Farmácia,Presencial,Stone,Negada
280.345.761-07,474013******7779,2026-01-26,16:06:48,62.37,Loja Online X,E-commerce,Online,Rede,Aprovada
580.792.143-79,454093******5411,2026-05-10,03:38:34,49.06,Decathlon,Esportes,Presencial,Stone,Aprovada
510.293.847-97,490530******7699,2026-03-23,13:27:10,62.59,Decathlon,Esportes,Online,Getnet,Aprovada
431.805.697-00,402749******9451,2026-06-11,03:36:59,40.05,LATAM,Viagens,Presencial,Stone,Aprovada
891.573.402-50,445417******1993,2026-04-21,12:28:27,30.1,Decathlon,Esportes,Online,Cielo,Aprovada
317.640.529-43,442966******7557,2026-06-18,20:19:56,79.39,Netshoes,Varejo,Presencial,Stone,Aprovada
130.469.827-04,458581******0607,2026-01-18,02:42:43,36.9,Eletrônicos Y,Tecnologia,Presencial,Getnet,Aprovada
632.791.084-03,451425******1415,2026-05-04,02:58:03,13.95,Google,Tecnologia,Presencial,Rede,Aprovada
013.684.972-50,432575******8879,2026-04-02,08:33:28,40.08,Booking,Viagens,Presencial,Rede,Aprovada
928.546.730-00,462177******6000,2026-05-17,00:24:37,28.53,Google,Tecnologia,Presencial,Cielo,Aprovada
347.982.560-56,478087******4524,2026-01-08,04:29:38,49.85,LATAM,Viagens,Online,Stone,Aprovada
285.340.961-98,456806******8994,2026-03-21,08:57:02,122.85,Loja Online X,E-commerce,Presencial,Getnet,Aprovada
629.714.530-06,444738******6595,2026-05-09,01:52:45,30.5,Steam,Games,Presencial,Cielo,Aprovada
170.648.392-96,460771******9750,2026-06-14,22:37:29,52.5,Loja Online X,E-commerce,Presencial,PagSeguro,Aprovada
617.892.304-03,495329******2709,2026-05-21,14:01:05,48.38,LATAM,Viagens,Presencial,Rede,Aprovada
032.679.584-74,418825******8627,2026-04-15,07:52:44,24.15,Mercado Livre,E-commerce,Presencial,PagSeguro,Aprovada
254.976.031-06,497064******4166,2026-06-14,10:27:57,45.79,Apple,Tecnologia,Presencial,Stone,Aprovada
583.691.240-89,427269******2785,2026-04-04,15:48:28,58.32,Google,Tecnologia,Presencial,Stone,Aprovada
354.126.089-06,440980******4035,2026-04-04,22:54:18,1642.58,Eletrônicos Y,Tecnologia,Online,Rede,Aprovada
849.765.132-46,410739******1205,2026-03-04,20:22:19,64.57,Mercado Livre,E-commerce,Online,Rede,Aprovada
875.049.321-32,405694******9945,2026-03-12,11:00:03,15.5,Steam,Games,Presencial,Cielo,Aprovada
104.965.823-05,425131******3360,2026-04-06,17:50:35,45.35,iFood,Alimentação,Online,Rede,Aprovada
059.683.274-56,415488******7944,2026-03-23,21:34:47,55.49,Magalu,Varejo,Online,Getnet,Aprovada
674.892.310-78,476245******3787,2026-04-07,15:06:03,44.9,Decathlon,Esportes,Presencial,Cielo,Aprovada
605.143.289-24,493532******0924,2026-04-16,20:11:51,27.53,Uber,Mobilidade,Presencial,PagSeguro,Negada
596.807.432-92,438302******2154,2026-03-24,10:48:48,19.67,Drogasil,Farmácia,Online,Rede,Aprovada
531.690.482-60,484652******5771,2026-06-27,06:48:02,25.08,Carrefour,Supermercado,Presencial,Rede,Aprovada
139.625.840-05,409866******0037,2026-04-04,05:07:18,31.7,Pão de Açúcar,Supermercado,Online,Cielo,Aprovada
067.428.315-53,405400******4407,2026-02-26,17:15:03,92.13,Renner,Varejo,Online,PagSeguro,Aprovada
460.587.231-08,472752******5578,2026-01-22,00:26:23,38.13,Booking,Viagens,Presencial,Cielo,Aprovada
203.697.815-03,490722******2802,2026-06-21,18:22:56,13.24,Google,Tecnologia,Online,Cielo,Aprovada
674.183.092-87,479229******0654,2026-06-13,13:58:30,36.2,Steam,Games,Online,Stone,Aprovada
814.652.097-94,430581******0057,2026-04-02,23:39:52,64.42,Drogasil,Farmácia,Presencial,Getnet,Aprovada
265.907.418-67,436266******9420,2026-06-28,11:06:44,60.49,Apple,Tecnologia,Presencial,Rede,Aprovada
510.293.847-97,490530******7699,2026-02-12,01:39:15,55.41,Drogasil,Farmácia,Presencial,Getnet,Aprovada
863.457.129-73,462228******6524,2026-01-11,16:03:27,16.95,Spotify,Assinaturas,Presencial,Stone,Aprovada
935.761.280-77,407974******1759,2026-03-23,19:05:10,30.54,Spotify,Assinaturas,Online,Rede,Aprovada
042.897.153-97,460138******8097,2026-05-10,01:13:58,1189.41,PlayStation,Games,Online,Cielo,Aprovada
432.918.065-06,458249******3977,2026-06-10,05:04:47,67.82,Mercado Livre,E-commerce,Online,Stone,Aprovada
473.928.105-88,439176******3924,2026-01-11,03:45:30,34.98,LATAM,Viagens,Presencial,Rede,Aprovada
428.167.593-00,472073******9289,2026-06-04,20:12:46,42.2,Booking,Viagens,Presencial,Cielo,Aprovada
